Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
15,A,report that unknown person stol the list property whil she was insid the list loc,Washington,DC,20431,38.9004553062469,-77.0441802814834,
15,A,radio run was dispatch for tamp with auto was stop in ref to lookout,Washington,DC,20003,38.8886771661242,-76.9973136369581,
15,A,report that the list property was stol from the list loc by unknown person,Bremer,IA,50677,38.9101419699594,-77.0448867192782,
15,A,rpts that unk suspect ent the veh by smash out the driv door window ont insid the list property was stol,Washington,DC,20002,38.9013238130298,-76.9989775744237,
15,A,rpts that unk person smash out the rear driv sid window ent her veh stol the list item,Lyman,NE,69352,38.907350803918,-77.0090529647873,
15,A,report for that unknown suspect smash the passeng sid winddow and stol the list property from within,Washington,DC,20011,38.9557192320638,-76.9918204824989,
15,A,report that the list property was stol from her vehic by unknown person smash the right rear passeng sid vent window,New York,NY,10011,38.9103838534642,-77.0365205219541,
15,A,rpts that unk person smash the rear pass window gain entry into her vehic stol the list item,Washington,DC,20003,38.8819806434567,-76.9926825987552,
15,A,rpts that unk person stol his veh,Washington,DC,20002,38.8961239899916,-77.0027731002119,
15,A,compl report passeng window was smash to remov the list property,Washington,DC,20010,38.9308018284828,-77.0373826182042,
15,A,compl report unknown subject ent his vehic and remov the list property without permit,Washington,District of Columbia,20005,38.904691908421,-77.0345724430397,
15,A,report subject ent and remov food item without pay for it,Washington,DC,20005,38.9103618687275,-77.0319215921852,
15,A,compl report passeng window was smash to remov the list property,Washington,DC,20005,38.9064444072219,-77.0296218462777,
15,A,compl report unknown subject remov the list vehic without permit,Washington,DC,20009,38.9191828817945,-77.03078531177,
15,A,compl report unknown subject remov his vehic without permit,Washington,DC,20001,38.9117901870068,-77.0219544608299,
15,A,compl report unknown subject remov the list vehic without permit,Washington,DC,20010,38.9352956690278,-77.0317989621553,
15,A,compl report unknown subject remov the list item from her tabl without permit,Washington,DC,20009,38.921706336463,-77.0423916905573,
15,A,compl report unknown subject remov his set of key from the front count without permit,Washington,DC,20010,38.9306075484054,-77.0338117113426,
15,A,report subject ent and remov sev snack item without pay for them,Washington,DC,20010,38.9281722734975,-77.0325901035071,
5,A,report unknown subject gain entry to remov the list property,Washington,DC,20010,38.9295298238503,-77.0232980353334,
5,A,report two subject wer observ remov bicyc without permit,Washington,DC,20009,38.9111270654505,-77.0332539369915,
5,A,report that unknown subject gain entry by pry op the front door the subject remov,Washington,DC,20009,38.9148209881657,-77.0319512614332,
5,A,report unknown subject gain entry through rear door to remov the list property,Washington,DC,20009,38.9111270654505,-77.0332539369915,
3,A,compl report subject approach and struck the compl in the fac with belt the subject is known to the compl,Washington,DC,20001,38.9038466855734,-77.0270469595433,
3,A,compl report dur verb alterc the subject produc raz and threatened the compl no injury,Washington,DC,20001,38.9215957884241,-77.0270363937493,
20,A,compl report two subject approach produc knif and demand money the subject remov wallet id and cellphon,Washington,DC,20010,38.9349845582166,-77.0371905379431,
20,A,compl report two subject approach produc handgun and demand property the subject remov wallet and hack licens,Washington,DC,20010,38.9371146918586,-77.0364480539517,
20,A,compl report three subject approach struck the compl in the fac in attempt to remov the compl purs the compl was abl to get back her purs and the subject fled,Washington,DC,20009,38.9192021648133,-77.0416813154578,
20,A,compl report subject approach and demand money dur brief struggle the subject fled with the compl cellphon and swe,Washington,DC,20010,38.9314145179551,-77.0400654345447,
15,A,report subject remov donut without pay for the item,Washington,DC,20010,38.9281722734975,-77.0325901035071,
15,A,compl report unknown subject remov his bicyc from the rear porch without permit,Washington,DC,20010,38.9348262821499,-77.0399549690194,
15,A,compl report unknown subject remov the compl pack from the porch without permit,Washington,DC,20005,38.9045724117266,-77.0288507920807,
15,A,compl report passeng window was smash to remov the list property,Washington,DC,20009,38.9270921059048,-77.0380413457109,
15,A,compl report unknown subject remov his vehic without permit,New York,NY,56071,38.9072402911002,-77.0280882579251,
15,A,compl report passeng window was smash to remov the list property,Washington,DC,,38.9111253374742,-77.028753607352,
15,A,stor report three subject ent and remov sev item without pay for them,Washington,DC,20010,38.9281722734975,-77.0325901035071,
5,A,report two subject wer observ fle the stor with bicyc,Washington,DC,20009,38.9111270654505,-77.0332539369915,
15,A,stor report three subject remov three ic cream item without pay for them,Washington,DC,20010,38.9337268763156,-77.0238654204487,
3,A,report he and wer driv southbound in the block of wisconsin av nw driv in front when he attempt to mak turn furth adv that he honk his horn at in turn block the path of,Washington,DC,20007,38.9039272905244,-77.0628182805189,
15,A,compl report passeng window was smash to remov the list property,Washington,DC,20009,38.9186481727853,-77.0296197082463,
15,A,compl report unknown subject remov the list property from her tabl without permit,Washington,DC,20009,38.9170290748464,-77.0375263101579,
15,A,compl report passeng window was smash to remov the list property,Washington,DC,20010,38.9350696085491,-77.0388160641977,
15,A,compl report passeng window was smash to remov the list property,Washington,DC,20005,38.9064444072219,-77.0296218462777,
15,A,compl report passeng was smash to remov the list property,Washington,DC,20001,38.9197545341673,-77.0259583038309,
15,A,compl report gar door was pri op to remov the list property,Washington,DC,20005,38.9083819135272,-77.03325409833,
15,A,report that she park the list vehic and upon her return she observ the passeng window had been smash by unknown person and property within stol,Washington,DC,20036,38.9072419007349,-77.0400912004109,
15,A,stor report subject ent and remov cellphon without permit,Washington,DC,20010,38.9295214447091,-77.0327640029717,
15,A,report he discov the list door dam and tamp with by unknown person,Washington,DC,20009,38.9140925326572,-77.0355268225722,
5,A,compl report unknown subject gain entry into the resid and remov the list property,Washington,DC,20009,38.9232354949953,-77.0459767297807,
3,A,report that he was walk when he was approach by suspect suspect stat wher is my doll the complain reply that he did not hav it suspect brand black handgun and shot the complain multipl tim,Washington,DC,20009,38.924482216261,-77.0331826832521,
5,A,compl report gain entry into her hom without permit dur verb alterc the subject struck the compl in the fac,Washington,DC,20010,38.9354039306437,-77.0226418006197,
5,A,report that unknown person smash the front glass door of the list loc ont insid stol cur from the cash reg,Washington,DC,20008,38.9337969564654,-77.0574819495241,
15,A,report that she park the list vehic in her assign park spac and when she return the vehic was stol,Washington,DC,20009,38.9118670404811,-77.0399190469888,
15,A,report that unknown suspect ent the list vehic in an unknown man and stol the list property from within,Washington,DC,20011,38.9585047918691,-77.0227861486382,
15,A,report between the list dat and tim unknown person ent the list vehic through the window ont insid the list property was stol,Washington,DC,20018,38.9290634507727,-76.9770068737189,
5,A,report that unknown suspect ent the list est via remov glass door and destroy property within,Washington,DC,20011,38.965541762691,-77.0161654908219,
5,A,report that unknown suspect ent the list est through it roof and stol the list property from within,Washington,DC,20011,38.9546152324232,-77.0278071170094,
15,A,report between the list dat and tim unknown person ent the list vehic through the right rear window ont insid the list property was stol,Washington,DC,20002,38.91252002303,-76.985590111843,
15,A,report that unknown subject stol the list property in an unknown man,Washington,DC,20037,38.9016128710615,-77.053310454105,
15,A,report that unknown suspect ent the list vehic via smash it window and stol the list property from within,Washington,DC,20011,38.9529285745018,-77.0265990656885,
5,A,report for that unknown subject remov the rear window ent the build and smash an intery off window noth appear to hav been stol at thi tim,Washington,DC,20007,38.9050771715009,-77.0669374578214,
5,A,on the list dat and tim an unknown person brok into the list loc and stol the abov list property,Washington,DC,20020,38.8541727493761,-76.9884241245762,
3,A,report on the list dat and tim cam to his hom and ask for money when refus fight ensu between and then op the door and told to leav his hom at which tim produc handgun and shot,Washington,DC,20002,38.9021703285824,-76.9757035940991,
15,A,on the list dat and tim stat her vehic was park at the list loc and unknown person stol the list vehic,Washington,DC,20020,38.8585427952377,-76.9985598128787,
20,A,report on the list dat and tim he was walk at the list loc when he was pass by and was lat pul from behind into the alley by and show handgun and stat lay that down,Bristow,VA,20136,38.9155662546956,-77.010676283496,
3,A,report on the list dat tim and loc whil involv in verb alterc with becam angry and beg fight with on the bed then grab knif cut on the arm was tak to the hospit and admit,Washington,DC,20020,38.8467794163186,-76.9788111383934,
5,A,report an unknown person brok into the list loc and tak was the abov list property the list off occur on the list dat and tim,Washington,DC,20032,38.8277908484161,-76.9970989128065,
15,A,report for that stol the list property from the display shelf,Washington,DC,20007,38.91521844904,-77.0674877637852,
20,A,report that whil at the list loc he was approach by produc black revolv and stat giv it up surrend the list property fled eastbound toward ft tot dr ne,Washington,DC,20011,38.9510686839659,-77.0085910515046,
15,A,report for that suspect through stol the list property from the display shelv and fled in an unknown direct,Washington,DC,20037,38.9032793730892,-77.0522862195209,
20,A,report on the list dat and tim whil walk in the are of the list loc was approach by and brand black revolv and stat empty yo pocket ran and whil run heard singl gunshot,Washington,DC,20032,38.8206195727012,-77.0091178768974,
15,A,report that he observ ste the list property from insid the list loc,Washington,DC,20011,38.9402732285039,-77.0364374130873,
15,A,report between the list dat and tim unknown person ent the list vehic through the passeng front window ont insid the list property was stol,Livermore,CA,10003,38.9121169083707,-77.0121569304156,
