Category,CrimeGroup,Description,City,State,Zip,Latitude,Longitude,Date
7,A,man arrest brief pursuit alleg tak jeep wrangl without,Fairfax,VA,22033,38.8576443,-77.392151,2009-1-4
15,A,hand tool stol vehic,Centreville,VA,20121,38.8347757,-77.4417783,2009-1-4
15,A,cash stol busy,Centreville,VA,20121,38.8288429,-77.438474,2009-1-4
15,A,tool compress stol vehic,Centreville,VA,20120,38.8397168,-77.4475867,2009-1-4
15,A,tool box stol vehic,Centreville,VA,20120,38.838052,-77.457432,2009-1-4
15,A,gps unit credit card stol vehic,Centreville,VA,20121,38.827383,-77.42816,2009-1-4
17,A,hond civ,Centreville,VA,20121,38.8305279,-77.4129112,2009-1-4
15,A,laundry deterg stol busy,Alexandria,VA,22307,38.775123,-77.0594757,2009-1-4
15,A,cash stol resid,Alexandria,VA,22309,38.7423973,-77.1177434,2009-1-4
15,A,beer stol busy,Alexandria,VA,22308,38.743608,-77.057443,2009-1-4
15,A,dvds stol busy,Fort Belvoir,VA,,38.711743,-77.143664,2009-1-4
15,A,video camer stol busy,Alexandria,VA,22306,38.772661,-77.082316,2009-1-4
15,A,liqu stol busy,Alexandria,VA,22306,38.7478279,-77.0833725,2009-1-4
15,A,ping pong bal stol busy,Alexandria,VA,22306,38.7431324,-77.0849139,2009-1-4
15,A,ipod sunglass stol vehic,Alexandria,VA,22309,38.736886,-77.096587,2009-1-4
15,A,licens plat stol vehic,Alexandria,VA,22309,38.740311,-77.105884,2009-1-4
15,A,cash stol busy,Alexandria,VA,22306,38.7802662,-77.0807992,2009-1-4
15,A,beer cigaret stol busy,Alexandria,VA,22310,38.7690885,-77.1142672,2009-1-4
17,A,toyot coroll,Alexandria,VA,22306,38.7460212,-77.094716,2009-1-4
17,A,hond accord,Alexandria,VA,22306,38.752632,-77.070743,2009-1-4
15,A,comput stol busy,Falls Church,VA,22042,38.8721958,-77.1610005,2009-1-4
15,A,cash credit card stol vehic,Merrifield,VA,,38.87359,-77.234719,2009-1-4
15,A,beer stol busy,MC Lean,VA,22101,38.935124,-77.176555,2009-1-4
15,A,cellul phon stol busy,,VA,22102,38.920177,-77.226339,2009-1-4
15,A,flag stol busy,,VA,22102,38.920177,-77.226339,2009-1-4
15,A,credit card cash stol busy,,VA,22102,38.920177,-77.226339,2009-1-4
15,A,comput stol school,Merrifield,VA,,38.87359,-77.234719,2009-1-4
15,A,camer stol school,Merrifield,VA,,38.87359,-77.234719,2009-1-4
15,A,tool stol resid,,VA,,38.873033,-77.246057,2009-1-4
15,A,gps unit stol vehic,Falls Church,VA,,38.882239,-77.170983,2009-1-4
15,A,ring stol resid,Falls Church,VA,22043,38.899024,-77.202943,2009-1-4
15,A,laptop comput stol busy,,VA,,38.92228,-77.226429,2009-1-4
15,A,gps unit stol vehic,Falls Church,VA,22043,38.904764,-77.208038,2009-1-4
15,A,gps unit cds item stol vehic,Falls Church,VA,22043,38.904764,-77.208038,2009-1-4
15,A,gps unit stol vehic,Falls Church,VA,22043,38.9052064,-77.2072879,2009-1-4
15,A,wallet laptop comput stol resid,Fairfax,VA,22031,38.8685971,-77.2713377,2009-1-4
15,A,project stol school,Great Falls,VA,22066,39.011679,-77.340364,2009-1-4
15,A,dvd play gps unit ipod adapt stol vehic,,VA,,38.873033,-77.246057,2009-1-4
15,A,gps unit stol vehic,Falls Church,VA,,38.882239,-77.170983,2009-1-4
15,A,coin stol resid,Falls Church,VA,22042,38.873849,-77.205947,2009-1-4
15,A,licens plat stol vehic,Fairfax,VA,22031,38.8777792,-77.2309615,2009-1-4
15,A,purs stol busy,Fairfax,VA,22031,38.8722144,-77.2632379,2009-1-4
15,A,beer stol busy,Falls Church,VA,22043,38.905254,-77.207318,2009-1-4
15,A,tir stol vehic,Merrifield,VA,,38.87359,-77.234719,2009-1-4
15,A,gps unit backpack play ipod stol vehic,MC Lean,VA,22102,38.923162,-77.198737,2009-1-4
15,A,gps unit stol vehic,,VA,,38.873033,-77.246057,2009-1-4
17,A,hond civ,Falls Church,VA,,38.882239,-77.170983,2009-1-4
17,A,volksw jett,Fairfax,VA,22031,38.876947,-77.228752,2009-1-4
17,A,hond accord,Falls Church,VA,,38.88549,-77.173624,2009-1-4
17,A,hond accord,Falls Church,VA,,38.88549,-77.173624,2009-1-4
15,A,gps unit stol vehic,Alexandria,VA,22312,38.821981,-77.153794,2009-1-4
15,A,licens plat stol vehic,Falls Church,VA,22041,38.8528542,-77.1381487,2009-1-4
15,A,gps unit stol vehic,Alexandria,VA,22312,38.8207084,-77.1557989,2009-1-4
15,A,purs stol vehic,Falls Church,VA,22041,38.838459,-77.163287,2009-1-4
15,A,tir stol vehic,Alexandria,VA,22312,38.8351716,-77.1491911,2009-1-4
15,A,watch sunglass stol busy,Hinton,WV,,37.709869,-80.814227,2009-1-4
15,A,licens plat stol vehic,Falls Church,VA,22041,38.8498889,-77.1388679,2009-1-4
15,A,ring stol busy,Falls Church,VA,22044,38.8658517,-77.1507855,2009-1-4
15,A,purs stol vehic,Alexandria,VA,22312,38.818092,-77.140698,2009-1-4
15,A,purs stol busy,Alexandria,VA,22312,38.818092,-77.140698,2009-1-4
15,A,purs stol vehic,Alexandria,VA,22312,38.81754,-77.141445,2009-1-4
15,A,gps unit stol vehic,Hinton,WV,,37.709869,-80.814227,2009-1-4
15,A,gps unit ipod fm transmit stol vehic,Hinton,WV,,37.709869,-80.814227,2009-1-4
15,A,airb stol vehic,Hinton,VA,,38.465858,-78.972194,2009-1-4
